year,avg_temp,anomaly
2010,41.6,0.5
2011,41.6,0.5
2012,44.5,3.4
2013,42.4,1.3
2014,41.9,0.8
2015,44.9,3.8
2016,44.6,3.5
2017,43.2,2.1
2018,41.3,0.2
2019,39.9,-1.2
2020,43.3,2.2
2021,44.0,2.9
