year,avg_temp,anomaly
2010,52.9,1.3
2011,53.2,1.6
2012,55.8,4.2
2013,51.1,-0.5
2014,49.5,-2.1
2015,52.9,1.3
2016,54.7,3.1
2017,54.4,2.8
2018,52.5,0.9
2019,52.1,0.5
2020,53.3,1.7
2021,53.8,2.2
