year,avg_temp,anomaly
2010,42.8,2.7
2011,42.0,1.9
2012,45.2,5.1
2013,39.3,-0.8
2014,38.6,-1.5
2015,43.5,3.4
2016,44.6,4.5
2017,42.6,2.5
2018,40.6,0.5
2019,39.3,-0.8
2020,42.4,2.3
2021,44.3,4.2
