year,avg_temp,anomaly
2010,59.0,0.5
2011,60.4,1.9
2012,60.7,2.2
2013,58.6,0.1
2014,58.4,-0.1
2015,60.5,2.0
2016,60.8,2.3
2017,61.0,2.5
2018,60.4,1.9
2019,61.3,2.8
2020,60.8,2.3
2021,60.2,1.7
