year,avg_temp,anomaly
2010,47.1,1.0
2011,45.5,-0.6
2012,47.1,1.0
2013,47.2,1.1
2014,48.4,2.3
2015,50.0,3.9
2016,48.6,2.5
2017,46.8,0.7
2018,48.1,2.0
2019,46.5,0.4
2020,48.1,2.0
2021,48.3,2.2
