year,avg_temp,anomaly
2010,57.7,0.3
2011,57.4,0.0
2012,59.5,2.1
2013,59.3,1.9
2014,61.5,4.1
2015,60.8,3.4
2016,60.1,2.7
2017,60.3,2.9
2018,60.1,2.7
2019,58.4,1.0
2020,60.5,3.1
2021,60.4,3.0
