year,avg_temp,anomaly
2010,52.6,1.3
2011,53.1,1.8
2012,55.1,3.8
2013,51.2,-0.1
2014,49.4,-1.9
2015,52.3,1.0
2016,54.2,2.9
2017,54.0,2.7
2018,52.6,1.3
2019,52.4,1.1
2020,53.3,2.0
2021,53.5,2.2
