year,avg_temp,anomaly
2010,60.4,1.0
2011,60.3,0.9
2012,62.1,2.7
2013,60.5,1.1
2014,62.3,2.9
2015,61.8,2.4
2016,62.2,2.8
2017,63.0,3.6
2018,62.3,2.9
2019,60.3,0.9
2020,62.6,3.2
2021,62.1,2.7
