Date,Value,Anomaly
201012,50.1,0.6
201112,49.6,0.1
201212,52.4,2.9
201312,50.5,1.0
201412,53.0,3.5
201512,52.9,3.4
201612,51.9,2.4
201712,52.2,2.7
201812,52.0,2.5
201912,49.9,0.4
202012,52.4,2.9
202112,52.5,3.0
