Date,Value,Anomaly
201012,46.2,1.6
201112,45.4,0.8
201212,48.3,3.7
201312,45.1,0.5
201412,46.1,1.5
201512,47.4,2.8
201612,47.3,2.7
201712,47.9,3.3
201812,47.2,2.6
201912,45.3,0.7
202012,47.3,2.7
202112,47.5,2.9
