Date,Value,Anomaly
201012,63.5,-0.1
201112,64.5,0.9
201212,65.7,2.1
201312,63.1,-0.5
201412,62.3,-1.3
201512,65.3,1.7
201612,65.9,2.3
201712,65.8,2.2
201812,64.8,1.2
201912,65.2,1.6
202012,65.5,1.9
202112,64.7,1.1
