Date,Value,Anomaly
201012,62.7,-0.4
201112,63.8,0.7
201212,64.9,1.8
201312,62.6,-0.5
201412,62.0,-1.1
201512,64.6,1.5
201612,65.3,2.2
201712,65.0,1.9
201812,64.5,1.4
201912,65.4,2.3
202012,64.9,1.8
202112,64.2,1.1
