Date,Value,Anomaly
201012,56.0,0.5
201112,56.9,1.4
201212,58.4,2.9
201312,55.0,-0.5
201412,54.3,-1.2
201512,56.6,1.1
201612,57.9,2.4
201712,57.8,2.3
201812,57.0,1.5
201912,57.5,2.0
202012,57.1,1.6
202112,57.0,1.5
