Date,Value,Anomaly
201012,47.1,3.5
201112,45.6,2.0
201212,48.4,4.8
201312,44.1,0.5
201412,41.9,-1.7
201512,45.1,1.5
201612,47.4,3.8
201712,46.3,2.7
201812,45.1,1.5
201912,43.9,0.3
202012,46.5,2.9
202112,47.4,3.8
