Date,Value
199512,40.9
199612,41.0
199712,39.8
199812,43.5
199912,43.8
200012,40.9
200112,42.7
200212,41.7
200312,40.5
200412,40.4
200512,41.8
200612,44.0
200712,40.7
200812,41.6
200912,40.9
201012,44.6
201112,42.8
201212,43.9
201312,42.0
201412,41.2
201512,41.2
201612,43.3
201712,42.4
201812,41.8
201912,40.7
202012,43.5
202112,44.2
