Date,Value
199512,41.7
199612,39.2
199712,42.2
199812,43.9
199912,44.0
200012,42.4
200112,43.7
200212,41.4
200312,43.3
200412,42.8
200512,43.1
200612,44.4
200712,44.0
200812,41.4
200912,41.1
201012,41.6
201112,41.6
201212,44.5
201312,42.4
201412,41.9
201512,44.9
201612,44.6
201712,43.2
201812,41.3
201912,39.9
202012,43.3
202112,44.0
