state,yield_per_colony,productions,stocks,average_price,value_of_prod,avg_temp,precipitation
Indiana,43,151000,151000,223.0,959000,52.6,37.39
Indiana,51,147000,147000,214.0,873000,53.1,55.2
Indiana,59,203000,203000,254.0,1199000,55.1,33.82
Indiana,47,82000,82000,277.0,781000,51.2,45.14
Indiana,62,115000,115000,319.0,989000,49.4,43.57
Indiana,53,165000,165000,323.0,1027000,52.3,47.51
Indiana,62,208000,208000,346.0,1502000,54.2,43.38
Indiana,52,158000,158000,361.0,1502000,54.0,45.61
Indiana,46,106000,106000,3.58,1153000,52.6,50.03
Indiana,55,188000,188000,3.78,1871000,52.4,49.52
Indiana,55,149000,149000,3.91,1935000,53.3,42.4
Indiana,52,177000,177000,3.89,2023000,53.5,45.46
Iowa,49,463000,463000,192.0,2540000,48.2,44.05
Iowa,62,961000,961000,196.0,3038000,48.4,31.83
Iowa,61,1196000,1196000,217.0,4898000,52.1,25.61
Iowa,48,1217000,1217000,245.0,4586000,46.7,34.44
Iowa,43,933000,933000,241.0,3627000,45.5,38.69
Iowa,50,990000,990000,220.0,3960000,49.3,42.53
Iowa,48,746000,746000,208.0,3694000,50.7,38.1
Iowa,58,1035000,1035000,226.0,4588000,50.0,32.36
Iowa,49,1005000,1005000,2.4,4469000,47.5,45.08
Iowa,55,1170000,1170000,2.35,4912000,46.8,41.63
Iowa,58,1259000,1259000,2.54,5156000,49.2,29.28
Iowa,55,502000,502000,2.46,5141000,50.0,30.84
Kansas,52,103000,103000,202.0,945000,55.3,27.84
Kansas,44,117000,117000,215.0,662000,55.2,24.17
Kansas,55,125000,125000,228.0,752000,58.2,19.29
Kansas,46,39000,39000,250.0,690000,53.7,29.03
Kansas,75,84000,84000,238.0,1250000,53.7,25.43
Kansas,36,107000,107000,350.0,1008000,56.3,32.78
Kansas,48,54000,54000,304.0,1021000,57.2,30.68
Kansas,79,260000,260000,403.0,2229000,56.5,29.03
Kansas,73,95000,95000,3.1,1132000,54.6,31.85
Kansas,79,171000,171000,2.35,1300000,53.8,36.03
Kansas,62,164000,164000,3.25,1612000,55.6,25.85
Kansas,42,144000,144000,2.74,806000,56.1,27.25
Kentucky,67,67000,67000,272.0,911000,56.0,43.54
Kentucky,39,12000,12000,317.0,495000,56.9,64.35
Kentucky,51,41000,41000,315.0,803000,58.4,43.21
Kentucky,41,17000,17000,325.0,400000,55.0,55.78
Kentucky,47,56000,56000,396.0,931000,54.3,47.11
Kentucky,46,55000,55000,404.0,929000,56.6,58.31
Kentucky,46,48000,48000,402.0,925000,57.9,49.19
Kentucky,38,42000,42000,413.0,785000,57.8,50.26
Kentucky,41,34000,34000,5.43,891000,57.0,63.74
Kentucky,41,44000,44000,4.66,1146000,57.5,61.32
Kentucky,33,58000,58000,5.76,1331000,57.1,58.11
Kentucky,37,73000,73000,4.6,1191000,57.0,53.39
Louisiana,80,288000,288000,150.0,4320000,66.5,41.76
Louisiana,77,471000,471000,167.0,4629000,67.7,43.01
Louisiana,86,141000,141000,183.0,6453000,68.7,62.88
Louisiana,98,490000,490000,189.0,9261000,66.3,61.43
Louisiana,84,524000,524000,218.0,8790000,65.1,55.94
Louisiana,99,348000,348000,195.0,8494000,68.1,67.31
Louisiana,86,301000,301000,194.0,8342000,68.7,67.08
Louisiana,81,279000,279000,193.0,6722000,68.7,64.06
Louisiana,83,261000,261000,1.91,7134000,67.8,66.39
Louisiana,72,428000,428000,2.15,8359000,67.7,61.87
Louisiana,69,228000,228000,2.46,5601000,68.2,66.96
Louisiana,58,205000,205000,2.5,5365000,67.5,66.28
Maine,41,33000,33000,205.0,420000,44.6,49.31
Maine,30,17000,17000,198.0,238000,42.8,50.04
Maine,34,24000,24000,239.0,325000,43.9,47.38
Maine,43,27000,27000,314.0,945000,42.0,45.61
Maine,47,41000,41000,499.0,1876000,41.2,49.45
Maine,47,47000,47000,543.0,2552000,41.2,43.16
Maine,34,65000,65000,338.0,1379000,43.3,41.36
Maine,33,51000,51000,500.0,1980000,42.4,45.32
Maine,32,92000,92000,2.98,1144000,41.8,46.45
Maine,35,110000,110000,3.28,1722000,40.7,49.99
Maine,30,78000,78000,3.36,1008000,43.5,40.63
Maine,34,60000,60000,3.18,1189000,44.2,39.75
Michigan,58,1524000,1524000,167.0,6877000,47.1,31.22
Michigan,64,2084000,2084000,181.0,8572000,45.6,36.82
Michigan,57,1332000,1332000,203.0,8447000,48.4,31.0
Michigan,55,982000,982000,216.0,10098000,44.1,38.23
Michigan,63,1835000,1835000,249.0,14275000,41.9,36.66
Michigan,58,1984000,1984000,244.0,12737000,45.1,31.74
Michigan,60,1709000,1709000,237.0,12656000,47.4,35.86
Michigan,45,822000,822000,242.0,9474000,46.3,39.27
Michigan,44,768000,768000,2.49,10627000,45.1,36.17
Michigan,50,1363000,1363000,2.56,12032000,43.9,41.83
Michigan,47,1384000,1384000,2.95,13172000,46.5,35.31
Michigan,51,1957000,1957000,2.97,15298000,47.4,32.88
Minnesota,66,1774000,1774000,155.0,13094000,42.8,33.44
Minnesota,53,2099000,2099000,163.0,10367000,42.0,24.35
Minnesota,67,1591000,1591000,192.0,16080000,45.2,26.17
Minnesota,58,1282000,1282000,199.0,15005000,39.3,29.01
Minnesota,60,1426000,1426000,206.0,16315000,38.6,29.12
Minnesota,68,2157000,2157000,184.0,15265000,43.5,29.46
Minnesota,59,1390000,1390000,169.0,12364000,44.6,33.54
Minnesota,62,1016000,1016000,193.0,15077000,42.6,28.3
Minnesota,61,1161000,1161000,1.94,14082000,40.6,30.08
Minnesota,59,3063000,3063000,1.83,12740000,39.3,35.66
Minnesota,55,2495000,2495000,1.8,10692000,42.4,24.4
Minnesota,57,285000,285000,2.32,16530000,44.3,23.57
Mississippi,98,78000,78000,144.0,2258000,63.5,43.91
Mississippi,115,104000,104000,153.0,3167000,64.5,52.84
Mississippi,118,64000,64000,177.0,3759000,65.7,59.17
Mississippi,116,39000,39000,186.0,3668000,63.1,62.93
Mississippi,112,45000,45000,201.0,4502000,62.3,58.22
Mississippi,83,87000,87000,240.0,2988000,65.3,60.57
Mississippi,85,113000,113000,173.0,2794000,65.9,53.13
Mississippi,86,124000,124000,182.0,2817000,65.8,58.93
Mississippi,87,70000,70000,2.07,3602000,64.8,66.81
Mississippi,80,141000,141000,1.87,3291000,65.2,68.06
Mississippi,73,146000,146000,1.99,3632000,65.5,68.84
Mississippi,71,71000,71000,2.77,4917000,64.7,65.5
Missouri,52,92000,92000,180.0,1030000,55.2,44.57
Missouri,43,76000,76000,214.0,736000,55.6,45.7
Missouri,53,108000,108000,280.0,1039000,58.6,31.03
Missouri,47,85000,85000,262.0,1231000,53.6,45.71
Missouri,47,96000,96000,363.0,2047000,52.9,39.32
Missouri,52,52000,52000,355.0,1846000,55.8,55.52
Missouri,62,30000,30000,231.0,1146000,57.4,39.44
Missouri,65,57000,57000,370.0,1924000,57.2,41.45
Missouri,45,36000,36000,2.83,1146000,55.2,43.0
Missouri,43,73000,73000,3.35,1441000,55.0,53.82
Missouri,41,100000,100000,3.59,1325000,55.8,46.34
Missouri,35,92000,92000,3.99,1117000,56.3,44.01
Montana,74,2905000,2905000,158.0,18356000,41.6,21.99
Montana,92,3202000,3202000,170.0,22678000,41.6,22.85
Montana,52,2413000,2413000,195.0,14703000,44.5,16.81
Montana,94,5231000,5231000,209.0,31237000,42.4,20.02
Montana,88,5132000,5132000,209.0,29795000,41.9,21.6
Montana,83,3757000,3757000,194.0,23509000,44.9,16.88
Montana,77,3183000,3183000,177.0,21670000,44.6,21.17
Montana,72,2506000,2506000,221.0,23072000,43.2,17.43
Montana,92,3680000,3680000,1.9,27968000,41.3,19.98
