productions,avg_temp,temp_anomaly,precipitation
64000,65.7,2.1,59.17
39000,63.1,-0.5,62.93
45000,62.3,-1.3,58.22
87000,65.3,1.7,60.57
113000,65.9,2.3,53.13
124000,65.8,2.2,58.93
70000,64.8,1.2,66.81
141000,65.2,1.6,68.06
146000,65.5,1.9,68.84
71000,64.7,1.1,65.5
92000,55.2,0.7,44.57
76000,55.6,1.1,45.7
108000,58.6,4.1,31.03
85000,53.6,-0.9,45.71
96000,52.9,-1.6,39.32
52000,55.8,1.3,55.52
30000,57.4,2.9,39.44
57000,57.2,2.7,41.45
36000,55.2,0.7,43.0
73000,55.0,0.5,53.82
100000,55.8,1.3,46.34
92000,56.3,1.8,44.01
2905000,41.6,0.5,21.99
3202000,41.6,0.5,22.85
2413000,44.5,3.4,16.81
5231000,42.4,1.3,20.02
5132000,41.9,0.8,21.6
3757000,44.9,3.8,16.88
3183000,44.6,3.5,21.17
2506000,43.2,2.1,17.43
3680000,41.3,0.2,19.98
5802000,39.9,-1.2,21.41
3208000,43.3,2.2,16.89
1934000,44.0,2.9,14.31
902000,49.3,0.9,27.07
653000,48.8,0.4,25.81
1146000,52.7,4.3,13.36
1628000,48.5,0.1,23.44
1688000,48.0,-0.4,24.98
1450000,50.8,2.4,28.07
640000,51.7,3.3,25.31
423000,50.7,2.3,25.34
850000,48.3,-0.1,29.22
223000,47.5,-0.9,31.38
250000,50.6,2.2,18.24
550000,51.1,2.7,22.6
73000,54.7,3.2,44.6
135000,54.9,3.4,63.95
51000,55.9,4.4,41.99
34000,53.2,1.7,46.38
119000,51.9,0.4,48.95
207000,53.9,2.4,43.86
198000,55.0,3.5,39.59
167000,54.6,3.1,44.92
165000,54.2,2.7,64.76
155000,54.3,2.8,51.55
91000,55.5,4.0,49.85
158000,55.1,3.6,47.87
157000,54.2,1.3,14.82
153000,54.6,1.7,9.8
99000,56.0,3.1,8.41
1123000,47.3,2.8,43.92
1235000,47.1,2.6,55.71
988000,48.8,4.3,39.56
1030000,45.7,1.2,43.99
1518000,44.5,0.0,43.22
899000,45.7,1.2,40.64
1167000,47.6,3.1,38.17
766000,46.9,2.4,47.38
833000,46.2,1.7,48.58
1027000,45.2,0.7,48.22
844000,47.8,3.3,39.28
665000,47.7,3.2,46.25
144000,59.0,0.5,46.27
95000,60.4,1.9,45.99
106000,60.7,2.2,46.62
84000,58.6,0.1,56.45
88000,58.4,-0.1,50.08
103000,60.5,2.0,58.32
89000,60.8,2.3,50.61
99000,61.0,2.5,47.96
63000,60.4,1.9,68.35
118000,61.3,2.8,51.14
123000,60.8,2.3,66.55
104000,60.2,1.7,47.6
12995000,40.9,1.2,23.48
7512000,40.7,1.0,21.44
5962000,44.1,4.4,15.09
6955000,38.8,-0.9,23.28
9271000,39.0,-0.7,18.61
9428000,43.4,3.7,17.72
6809000,44.4,4.7,21.85
4377000,42.0,2.3,12.99
4752000,39.8,0.1,17.77
6422000,38.0,-1.7,24.39
8108000,42.3,2.6,12.92
2266000,43.8,4.1,15.63
346000,51.7,1.3,36.76
228000,52.3,1.9,55.95
410000,54.0,3.6,37.28
390000,50.9,0.5,41.69
256000,49.2,-1.2,38.56
357000,51.6,1.2,43.01
664000,53.6,3.2,37.39
657000,53.2,2.8,45.51
491000,52.2,1.8,50.93
442000,52.4,2.0,46.87
576000,53.0,2.6,42.32
389000,53.2,2.8,41.68
874000,47.1,0.6,37.91
755000,46.3,-0.2,30.68
845000,48.0,1.5,40.08
456000,47.6,1.1,22.72
767000,49.6,3.1,35.29
809000,50.4,3.9,30.17
622000,48.8,2.3,34.68
998000,48.0,1.5,36.22
1009000,48.4,1.9,25.41
1141000,47.1,0.6,30.03
1102000,48.8,2.3,28.76
693000,49.2,2.7,28.51
377000,50.1,2.0,42.31
306000,50.4,2.3,61.0
269000,51.8,3.7,43.49
257000,49.0,0.9,41.82
203000,47.4,-0.7,42.43
225000,49.5,1.4,43.1
266000,50.9,2.8,39.0
177000,50.6,2.5,46.61
309000,49.8,1.7,64.04
409000,49.9,1.8,50.78
392000,51.2,3.1,43.26
336000,51.2,3.1,46.11
19000,62.2,-0.2,47.03
38000,64.5,2.1,60.66
36000,64.9,2.5,46.25
27000,65.1,2.7,46.57
15000,64.3,1.9,57.3
45000,65.0,2.6,46.03
66000,64.6,2.2,59.87
67000,63.7,1.3,47.47
4765000,45.1,0.5,24.68
4290000,44.8,0.2,22.13
3604000,49.3,4.7,14.58
6381000,44.0,-0.6,24.94
5846000,43.7,-0.9,20.19
9379000,47.5,2.9,22.78
12127000,48.4,3.8,20.68
6541000,46.8,2.2,17.63
5154000,44.1,-0.5,23.25
7582000,42.3,-2.3,31.4
8668000,46.8,2.2,16.17
5268000,48.0,3.4,18.15
106000,57.9,0.2,49.65
68000,58.9,1.2,62.59
59000,60.3,2.6,46.89
63000,57.1,-0.6,63.27
88000,56.6,-1.1,53.52
78000,59.0,1.3,59.16
69000,60.3,2.6,47.04
75000,60.0,2.3,56.22
84000,59.1,1.4,67.14
91000,59.8,2.1,66.91
54000,59.3,1.6,65.73
81000,59.0,1.3,58.78
792000,65.1,0.5,27.81
633000,67.3,2.7,14.7
718000,67.8,3.2,24.1
1689000,65.1,0.5,26.02
2081000,64.9,0.3,24.01
1164000,65.8,1.2,41.23
2607000,67.2,2.6,32.1
2297000,67.3,2.7,30.28
1035000,66.0,1.4,33.72
1663000,65.9,1.3,26.86
1253000,66.9,2.3,26.17
384000,66.2,1.6,28.79
195000,48.3,0.7,17.23
170000,47.6,0.0,14.71
209000,50.9,3.3,10.69
92000,47.8,0.2,13.21
130000,50.4,2.8,13.33
147000,50.7,3.1,15.41
169000,50.2,2.6,14.04
67000,50.7,3.1,12.83
75000,50.4,2.8,11.58
89000,47.9,0.3,16.94
171000,50.4,2.8,7.24
92000,50.7,3.1,13.55
73000,44.9,3.6,49.21
43000,44.3,3.0,58.22
53000,45.9,4.6,42.35
46000,43.2,1.9,46.56
61000,42.0,0.7,46.08
62000,42.6,1.3,42.44
69000,44.7,3.4,38.62
144000,43.8,2.5,46.3
94000,43.2,1.9,47.07
84000,41.9,0.6,51.4
96000,44.8,3.5,40.21
76000,45.0,3.7,41.61
37000,55.9,1.1,41.74
21000,57.0,2.2,48.3
23000,57.6,2.8,40.05
42000,55.1,0.3,51.37
57000,54.4,-0.4,43.75
50000,56.5,1.7,49.76
30000,57.1,2.3,45.41
46000,57.3,2.5,41.56
35000,56.6,1.8,63.53
49000,57.5,2.7,46.0
54000,57.4,2.6,61.4
79000,57.1,2.3,40.86
1077000,47.1,1.0,47.32
836000,45.5,-0.6,43.82
1017000,47.1,1.0,52.87
1023000,47.2,1.1,35.68
1167000,48.4,2.3,48.8
1221000,50.0,3.9,43.25
412000,48.6,2.5,49.14
1594000,46.8,0.7,48.73
563000,48.1,2.0,41.32
1191000,46.5,0.4,33.07
798000,48.1,2.0,45.25
1206000,48.3,2.2,43.87
40000,52.1,0.5,42.43
45000,53.5,1.9,55.1
95000,54.3,2.7,44.62
83000,51.8,0.2,47.59
33000,50.8,-0.8,42.79
32000,53.1,1.5,48.62
43000,54.1,2.5,45.36
50000,54.0,2.4,47.01
38000,53.3,1.7,65.1
47000,54.2,2.6,48.24
58000,54.0,2.4,53.77
136000,53.6,2.0,42.58
1556000,45.5,3.1,39.02
1508000,44.1,1.7,31.04
1863000,47.4,5.0,28.8
1558000,41.8,-0.6,36.53
1030000,40.2,-2.2,37.08
1603000,44.8,2.4,35.88
1205000,46.2,3.8,39.39
683000,44.7,2.3,37.57
711000,43.2,0.8,39.74
692000,42.1,-0.3,44.55
855000,44.8,2.4,34.19
750000,45.8,3.4,29.9
282000,42.0,1.2,17.25
265000,41.1,0.3,18.55
459000,44.8,4.0,10.96
558000,41.7,0.9,16.32
255000,42.1,1.3,18.1
146000,44.2,3.4,16.71
190000,43.9,3.1,17.28
186000,43.2,2.4,18.66
175000,42.4,1.6,16.12
306000,40.3,-0.5,18.34
608000,42.8,2.0,11.72
242000,43.6,2.8,14.37
