year,precipitation
1995,40.19
1996,56.46
1997,40.88
1998,56.39
1999,45.98
2000,48.84
2001,43.24
2002,47.45
2003,52.96
2004,47.61
2005,57.83
2006,56.70
2007,44.46
2008,56.70
2009,54.02
2010,53.32
2011,57.53
2012,41.13
2013,43.17
2014,47.24
2015,40.88
2016,41.26
2017,49.11
2018,63.18
2019,57.11
2020,44.52
2021,49.85
