year,precipitation
1995,42.19
1996,52.62
1997,42.78
1998,47.53
1999,42.45
2000,48.62
2001,34.36
2002,47.26
2003,49.82
2004,41.85
2005,52.39
2006,54.28
2007,48.83
2008,54.63
2009,47.43
2010,49.21
2011,58.22
2012,42.35
2013,46.56
2014,46.08
2015,42.44
2016,38.62
2017,46.30
2018,47.07
2019,51.40
2020,40.21
2021,41.61
