year,precipitation
1995,32.88
1996,33.00
1997,28.43
1998,32.43
1999,33.25
2000,34.19
2001,35.05
2002,35.08
2003,28.02
2004,34.91
2005,28.55
2006,30.08
2007,33.49
2008,32.72
2009,29.76
2010,39.02
2011,31.04
2012,28.80
2013,36.53
2014,37.08
2015,35.88
2016,39.39
2017,37.57
2018,39.74
2019,44.55
2020,34.19
2021,29.90
