year,precipitation
1995,52.15
1996,60.07
1997,56.51
1998,57.57
1999,46.05
2000,45.02
2001,54.00
2002,59.22
2003,61.76
2004,61.24
2005,44.68
2006,48.87
2007,37.72
2008,49.77
2009,60.28
2010,49.65
2011,62.59
2012,46.89
2013,63.27
2014,53.52
2015,59.16
2016,47.04
2017,56.22
2018,67.14
2019,66.91
2020,65.73
2021,58.78
