year,precipitation
1995,59.10
1996,53.96
1997,59.65
1998,57.05
1999,49.69
2000,40.29
2001,52.21
2002,58.49
2003,58.77
2004,57.22
2005,59.48
2006,41.00
2007,43.72
2008,53.13
2009,53.77
2010,48.12
2011,46.77
2012,55.09
2013,56.87
2014,59.13
2015,52.86
2016,53.41
2017,58.63
2018,60.52
2019,52.10
2020,57.98
2021,55.38
