year,precipitation
1995,41.49
1996,60.61
1997,41.12
1998,50.16
1999,46.04
2000,50.19
2001,39.98
2002,47.23
2003,53.29
2004,46.50
2005,57.01
2006,53.70
2007,45.49
2008,59.70
2009,51.71
2010,49.63
2011,60.83
2012,41.78
2013,46.39
2014,50.10
2015,41.39
2016,36.83
2017,46.82
2018,61.03
2019,52.74
2020,42.40
2021,54.82
