year,precipitation
1995,41.42
1996,48.87
1997,32.60
1998,42.91
1999,31.64
2000,27.91
2001,26.84
2002,26.21
2003,32.06
2004,29.69
2005,33.22
2006,36.44
2007,28.99
2008,28.63
2009,27.62
2010,37.91
2011,30.68
2012,40.08
2013,22.72
2014,35.29
2015,30.17
2016,34.68
2017,36.22
2018,25.41
2019,30.03
2020,28.76
2021,28.51
