year,precipitation
1995,31.11
1996,32.10
1997,25.28
1998,28.95
1999,22.64
2000,20.89
2001,19.13
2002,18.98
2003,22.56
2004,23.18
2005,24.58
2006,26.38
2007,19.56
2008,21.97
2009,22.88
2010,26.14
2011,24.69
2012,25.71
2013,17.64
2014,26.47
2015,22.52
2016,24.88
2017,28.83
2018,21.88
2019,23.41
2020,22.19
2021,21.01
