year,precipitation
1995,25.19
1996,25.49
1997,22.14
1998,25.93
1999,22.84
2000,20.36
2001,24.48
2002,15.65
2003,19.98
2004,22.93
2005,23.57
2006,21.56
2007,28.64
2008,28.10
2009,25.70
2010,27.07
2011,25.81
2012,13.36
2013,23.44
2014,24.98
2015,28.07
2016,25.31
2017,25.34
2018,29.22
2019,31.38
2020,18.24
2021,22.60
