year,precipitation
1995,44.06
1996,59.17
1997,41.23
1998,46.11
1999,38.98
2000,42.59
2001,39.86
2002,48.56
2003,59.42
2004,53.07
2005,41.89
2006,43.63
2007,42.85
2008,46.04
2009,46.80
2010,42.43
2011,55.10
2012,44.62
2013,47.59
2014,42.79
2015,48.62
2016,45.36
2017,47.01
2018,65.10
2019,48.24
2020,53.77
2021,42.58
