year,precipitation
1995,38.91
1996,38.82
1997,35.10
1998,44.49
1999,35.71
2000,39.77
2001,39.65
2002,39.06
2003,37.78
2004,39.97
2005,31.43
2006,40.64
2007,36.69
2008,50.17
2009,50.96
2010,40.68
2011,46.10
2012,30.11
2013,42.49
2014,41.29
2015,48.80
2016,39.75
2017,37.80
2018,45.79
2019,49.86
2020,41.94
2021,41.01
