year,precipitation
1995,42.72
1996,51.39
1997,39.51
1998,45.24
1999,46.35
2000,43.15
2001,29.83
2002,40.98
2003,46.02
2004,38.80
2005,61.59
2006,51.65
2007,47.63
2008,56.02
2009,49.46
2010,49.31
2011,50.04
2012,47.38
2013,45.61
2014,49.45
2015,43.16
2016,41.36
2017,45.32
2018,46.45
2019,49.99
2020,40.63
2021,39.75
