Date,Value
199512,45.2
199612,44.5
199712,44.3
199812,48.3
199912,46.9
200012,44.9
200112,46.9
200212,46.8
200312,44.5
200412,45.2
200512,46.2
200612,47.6
200712,45.7
200812,45.8
200912,45.0
201012,47.3
201112,47.1
201212,48.8
201312,45.7
201412,44.5
201512,45.7
201612,47.6
201712,46.9
201812,46.2
201912,45.2
202012,47.8
202112,47.7
