year,precipitation
1995,39.53
1996,58.97
1997,38.77
1998,42.46
1999,44.27
2000,43.92
2001,36.02
2002,41.47
2003,60.74
2004,46.59
2005,44.03
2006,44.97
2007,36.05
2008,45.00
2009,51.27
2010,40.89
2011,51.11
2012,40.40
2013,46.04
2014,44.76
2015,46.86
2016,41.66
2017,41.21
2018,64.62
2019,42.70
2020,52.84
2021,41.57
