year,precipitation
1995,39.70
1996,59.18
1997,42.87
1998,41.75
1999,47.26
2000,45.25
2001,35.55
2002,45.91
2003,56.48
2004,48.70
2005,48.81
2006,51.41
2007,46.93
2008,47.22
2009,53.17
2010,44.60
2011,63.95
2012,41.99
2013,46.38
2014,48.95
2015,43.86
2016,39.59
2017,44.92
2018,64.76
2019,51.55
2020,49.85
2021,47.87
