year,precipitation
1995,37.10
1996,50.83
1997,39.01
1998,41.40
1999,38.77
2000,46.24
2001,34.14
2002,43.56
2003,48.02
2004,45.17
2005,46.85
2006,48.89
2007,44.47
2008,47.73
2009,42.37
2010,43.92
2011,55.71
2012,39.56
2013,43.99
2014,43.22
2015,40.64
2016,38.17
2017,47.38
2018,48.58
2019,48.22
2020,39.28
2021,46.25
