year,precipitation
1995,37.81
1996,37.28
1997,39.31
1998,36.18
1999,37.27
2000,36.93
2001,31.98
2002,35.01
2003,27.87
2004,40.19
2005,27.56
2006,29.81
2007,43.57
2008,38.31
2009,38.04
2010,32.04
2011,26.24
2012,25.70
2013,36.70
2014,28.87
2015,53.72
2016,31.19
2017,38.61
2018,41.01
2019,44.98
2020,39.21
2021,33.62
