year,precipitation
1995,13.75
1996,12.19
1997,10.01
1998,16.91
1999,7.74
2000,10.48
2001,8.93
2002,6.24
2003,9.82
2004,11.35
2005,13.55
2006,9.67
2007,7.59
2008,7.69
2009,9.22
2010,13.06
2011,8.62
2012,8.89
2013,7.46
2014,9.92
2015,11.34
2016,11.15
2017,11.17
2018,9.27
2019,13.81
2020,5.86
2021,9.58
