year,precipitation
1995,22.02
1996,20.60
1997,19.44
1998,20.25
1999,17.44
2000,15.67
2001,14.94
2002,17.17
2003,17.39
2004,16.84
2005,20.01
2006,18.24
2007,17.97
2008,19.48
2009,17.45
2010,21.99
2011,22.85
2012,16.81
2013,20.02
2014,21.60
2015,16.88
2016,21.17
2017,17.43
2018,19.98
2019,21.41
2020,16.89
2021,14.31
