year,precipitation
1995,49.67
1996,48.70
1997,57.29
1998,52.90
1999,40.86
2000,41.38
2001,41.80
2002,49.72
2003,57.23
2004,52.16
2005,54.74
2006,39.00
2007,38.07
2008,46.99
2009,61.48
2010,43.04
2011,40.11
2012,42.02
2013,63.49
2014,51.41
2015,55.74
2016,40.90
2017,49.80
2018,60.80
2019,47.89
2020,60.46
2021,57.14
