year,precipitation
1995,37.51
1996,56.31
1997,38.80
1998,40.41
1999,41.12
2000,41.38
2001,34.36
2002,43.55
2003,53.57
2004,53.90
2005,42.97
2006,47.57
2007,44.12
2008,45.82
2009,42.77
2010,42.31
2011,61.00
2012,43.49
2013,41.82
2014,42.43
2015,43.10
2016,39.00
2017,46.61
2018,64.04
2019,50.78
2020,43.26
2021,46.11
