year,precipitation
1995,44.31
1996,55.89
1997,38.08
1998,45.94
1999,42.72
2000,40.33
2001,34.88
2002,42.62
2003,61.89
2004,48.94
2005,39.83
2006,46.20
2007,35.19
2008,40.64
2009,51.25
2010,41.74
2011,48.30
2012,40.05
2013,51.37
2014,43.75
2015,49.76
2016,45.41
2017,41.56
2018,63.53
2019,46.00
2020,61.40
2021,40.86
