year,precipitation
1995,31.29
1996,31.64
1997,35.81
1998,36.54
1999,40.29
2000,40.08
2001,37.50
2002,40.52
2003,39.00
2004,38.74
2005,40.36
2006,38.71
2007,34.09
2008,37.09
2009,35.21
2010,33.85
2011,38.74
2012,37.28
2013,40.81
2014,36.75
2015,40.10
2016,37.07
2017,38.06
2018,37.90
2019,38.00
2020,37.94
2021,38.68
