Date,Value,Anomaly
201012,66.5,0.1
201112,67.7,1.3
201212,68.7,2.3
201312,66.3,-0.1
201412,65.1,-1.3
201512,68.1,1.7
201612,68.7,2.3
201712,68.7,2.3
201812,67.8,1.4
201912,67.7,1.3
202012,68.2,1.8
202112,67.5,1.1
