Date,Value,Anomaly
201012,51.7,1.3
201112,52.3,1.9
201212,54.0,3.6
201312,50.9,0.5
201412,49.2,-1.2
201512,51.6,1.2
201612,53.6,3.2
201712,53.2,2.8
201812,52.2,1.8
201912,52.4,2.0
202012,53.0,2.6
202112,53.2,2.8
