Date,Value,Anomaly
201012,69.2,-0.9
201112,71.7,1.6
201212,71.9,1.8
201312,71.7,1.6
201412,70.6,0.5
201512,73.4,3.3
201612,72.5,2.4
201712,72.8,2.7
201812,72.3,2.2
201912,73.2,3.1
202012,73.2,3.1
202112,72.2,2.1
