Date,Value,Anomaly
201012,52.0,3.4
201112,51.6,3.0
201212,52.9,4.3
201312,50.7,2.1
201412,49.7,1.1
201512,50.4,1.8
201612,52.2,3.6
201712,51.5,2.9
201812,51.6,3.0
201912,50.6,2.0
202012,52.8,4.2
202112,52.5,3.9
